Target,Model,Method,Mean_diff_abs,Var_mean,Std_mean
kpcb,GIN,attention,0.836683166027069,1.555192743986845,1.0041945546865463
kpcb,GIN,gnnexplainer,0.06381171941757213,0.01132865338586265,0.1051119744777679
lck,GAT,attention,0.15983551740646362,0.4758014976978302,0.6588396161794663
lck,GAT,gnnexplainer,0.003884881734848078,0.013427341915667,0.1156552970409393
lck,GIN,attention,0.15724706649780268,0.08896667510271065,0.28921579420566557
lck,GIN,gnnexplainer,0.12896615862846378,0.0095265541225671,0.0965467981994152
lkha4,GAT,attention,1.1460820958018303,0.1869226463139057,0.4160458520054817
lkha4,GAT,gnnexplainer,0.009138685464858964,0.01030658439267425,0.099998066201806
lkha4,GIN,attention,0.24026507139205933,0.35031587854027746,0.515168535709381
lkha4,GIN,gnnexplainer,0.011901009082794234,0.010425162827596,0.1011991366744041
mapk2,GAT,attention,0.10068067312240603,0.09819128215312956,0.28261381983757017
mapk2,GAT,gnnexplainer,0.02876412868499756,0.01276867333799595,0.11262881830334655
mapk2,GIN,attention,0.630287467315793,0.1492900844663381,0.3747084677219391
mapk2,GIN,gnnexplainer,0.10084599256515508,0.012337632570415698,0.10995923131704324
mcr,GAT,attention,0.5626859549432993,0.4453089378774166,0.5931137144565581
mcr,GAT,gnnexplainer,0.02022712826728823,0.0123844279441982,0.11052091345190995
mcr,GIN,attention,0.008444541692733787,0.3952748604118823,0.521382600069046
mcr,GIN,gnnexplainer,0.04597199559211734,0.0112032948527485,0.10527314096689219
met,GAT,attention,0.6083125025033951,0.21495422497391692,0.4578810095787048
met,GAT,gnnexplainer,0.01806603074073798,0.012624760530889,0.11206371337175365
met,GIN,attention,0.9032494530081748,0.5004972722381353,0.5432259440422058
met,GIN,gnnexplainer,0.1471141278743744,0.008447183528915,0.0876306649297475
mk01,GAT,attention,0.04212687015533412,0.1023100784048438,0.30458591580390926
mk01,GAT,gnnexplainer,0.015270191431045521,0.01340931262820955,0.11568521484732625
mk01,GIN,attention,0.6226564014330506,0.31385302916169167,0.4839527040719986
mk01,GIN,gnnexplainer,0.0866491615772248,0.010837622731923999,0.102353373542428
mk10,GAT,attention,0.5443863850086927,0.17283391840755935,0.39204739034175873
mk10,GAT,gnnexplainer,0.009920156002044711,0.0137031727470457,0.11682536080479619
mk10,GIN,attention,0.019173955917358376,0.06161424014717335,0.2369529247283935
mk10,GIN,gnnexplainer,0.11458977460861214,0.010921279992908199,0.10211848020553585
mk14,GAT,attention,0.314180463552475,0.33681935966014853,0.5550583153963089
mk14,GAT,gnnexplainer,0.05307697653770449,0.01341274119913575,0.11543370634317396
mk14,GIN,attention,0.3184802121715619,0.04232704192399975,0.20267126411199565
mk14,GIN,gnnexplainer,0.050291544198989846,0.0116329129785299,0.10723072364926335
mmp13,GAT,attention,0.30954905748367323,0.6492051512002945,0.7654644340276718
mmp13,GAT,gnnexplainer,0.04567107558250427,0.01301226187497375,0.11392968967556949
mmp13,GIN,attention,0.023914551734924405,0.4062607027590275,0.5687004745006561
mmp13,GIN,gnnexplainer,0.057421135902404885,0.012224258203059401,0.11014739796519274
mp2k1,GAT,attention,0.05802774429321311,0.39399998299777506,0.5965977638959885
mp2k1,GAT,gnnexplainer,0.04487487077713015,0.012614520202623651,0.10870195366442201
mp2k1,GIN,attention,0.3445466816425323,0.41062778867781163,0.5848421961069107
mp2k1,GIN,gnnexplainer,0.034658628702163685,0.011763139162212551,0.10771132707595821
nos1,GAT,attention,0.27025119066238446,1.0281378298997879,0.9746125221252442
nos1,GAT,gnnexplainer,0.03164972066879268,0.0122052075341343,0.10958165451884265
nos1,GIN,attention,0.7971549719572066,0.6247642274945974,0.5799722820520401
nos1,GIN,gnnexplainer,0.08441557288169865,0.0103500980418175,0.09799605980515474
nram,GAT,attention,0.5542277216911319,0.2682248055934906,0.495808732509613
nram,GAT,gnnexplainer,0.08505849838256835,0.01183676281943915,0.10791015326976769
nram,GIN,attention,0.7493772089481353,0.1812920935451984,0.397575281560421
nram,GIN,gnnexplainer,0.044035494327545166,0.013830916769802502,0.11736541017889975
pa2ga,GAT,attention,0.29673161506652823,0.26420205049216744,0.4657258659601211
pa2ga,GAT,gnnexplainer,0.05846323370933526,0.0117319950368255,0.10734560042619701
pa2ga,GIN,attention,0.09156236648559568,0.1921416670083999,0.4206919640302658
pa2ga,GIN,gnnexplainer,0.055578702688217185,0.01414223229512565,0.11871599480509751
parp1,GAT,attention,0.07780889272689817,0.1781352333724498,0.3969824343919754
parp1,GAT,gnnexplainer,0.060786420106887784,0.0120494401082396,0.10865065827965731
parp1,GIN,attention,0.5683355547487735,0.056505392631515855,0.22319374158978456
parp1,GIN,gnnexplainer,0.12550948858261107,0.010006099962629349,0.09569586962461465
pde5a,GAT,attention,0.0616053462028503,0.4663540989160537,0.6657440960407257
pde5a,GAT,gnnexplainer,0.0014057517051696555,0.0145303922705352,0.120347898453474
pde5a,GIN,attention,0.031649941205978305,0.08943883553147311,0.29471970051527024
pde5a,GIN,gnnexplainer,0.15049682855606078,0.00782118327915665,0.08559298068284985
pgh1,GAT,attention,0.2563513442873954,0.1758604198694229,0.40607481896877284
pgh1,GAT,gnnexplainer,0.052452975511550926,0.01216560602188105,0.10965588018298145
pgh1,GIN,attention,0.3149627983570098,0.12333776354789734,0.3407581761479378
pgh1,GIN,gnnexplainer,0.07486222386360175,0.0113586975261569,0.10566804260015486
pgh2,GAT,attention,0.3220863938331604,0.4841482102870941,0.6743303835391998
pgh2,GAT,gnnexplainer,0.07443965077400216,0.012350398162379799,0.11049524247646325
pgh2,GIN,attention,0.30935042500495913,0.2731296708807349,0.4893304258584976
pgh2,GIN,gnnexplainer,0.03276897072792051,0.0130512059666216,0.11413237154483791
plk1,GAT,attention,0.43872722461819647,0.111302469484508,0.3201318129897117
plk1,GAT,gnnexplainer,0.02758008241653448,0.0133421087637543,0.11449553966522215
plk1,GIN,attention,0.004812413454055808,0.14087953865528105,0.3637396335601807
plk1,GIN,gnnexplainer,0.08570557236671456,0.0122903626412153,0.11048491075634956
pnph,GAT,attention,0.07934923171997088,0.1365171018987894,0.36475051790475843
pnph,GAT,gnnexplainer,0.06658415794372563,0.0124441750114783,0.1095292314887046
pnph,GIN,attention,1.5549504309892654,0.5532794959843159,0.6561903446912765
pnph,GIN,gnnexplainer,0.04502044320106513,0.013364026090130151,0.11402551531791685
ppara,GAT,attention,0.09228250980377206,0.7215981274843216,0.8274573773145677
ppara,GAT,gnnexplainer,0.08272427916526798,0.0115111594088375,0.10700122192502015
ppara,GIN,attention,0.26764885187149035,1.3800973892211914,1.1460563004016877
ppara,GIN,gnnexplainer,0.018502980470657293,0.013903218787163451,0.11724970415234565
ppard,GAT,attention,0.813743743300438,0.4075631231069564,0.6283110082149506
ppard,GAT,gnnexplainer,0.007228589057922452,0.0131477247923612,0.1142491534352302
ppard,GIN,attention,0.1875632405281067,1.2012423619627952,1.0656092673540116
ppard,GIN,gnnexplainer,0.06351640224456795,0.013056721817702,0.11374168843030924
pparg,GAT,attention,0.7283123224973679,0.3872722819447517,0.5874967694282531
pparg,GAT,gnnexplainer,0.04139590859413145,0.0132954287342727,0.11501101404428474
pparg,GIN,attention,0.14917327165603644,0.9370949774980546,0.8989822387695313
pparg,GIN,gnnexplainer,0.10305832028388973,0.0113567815627902,0.10619284957647321
